Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-9.5,8.0,-55.12,146.26,37.954,-121.866,-12.1727547732,-158.465936016
-11.0,11.2,-55.12,146.26,34.0006,-115.998,-15.6085960415,-153.006360633
-11.0,13.2,-55.12,146.26,34.2388,-117.659,-15.2190666128,-154.252822507
-9.3,7.9,-55.12,146.26,37.8762,-122.236,-12.1884038143,-158.680686258
-8.9,9.6,-55.12,146.26,44.8525,-117.306,-7.68643834075,-158.694786677
-9.3,8.0,-55.12,146.26,37.8735,-122.261,-12.1877182905,-158.696165154
-5.5,9.5,-55.12,146.26,47.9568,-122.925,-5.11932723314,-163.763760113
-7.0,7.9,-55.12,146.26,47.6947,-121.689,-5.36311683342,-162.898456759
-8.4,7.2,-55.12,146.26,47.7849,-119.045,-5.4280678394,-161.402274343
-7.6,7.5,-55.12,146.26,47.8006,-118.274,-5.45597935228,-160.958467995
-15.4,6.8,-55.12,146.26,38.814,-99.7374,-14.4810807632,-143.437954279
-8.4,9.6,-55.12,146.26,38.0345,-120.387,-12.2701652974,-157.517479089
-8.4,9.5,-55.12,146.26,38.035,-120.385,-12.2700292611,-157.516346847
-6.6,9.7,-55.12,146.26,44.5855,-123.305,-7.46884381624,-162.240554795
-10.6,11.0,-55.12,146.26,33.5654,-116.737,-15.8094054616,-153.373383023
-9.4,8.3,-55.12,146.26,38.3453,-122.458,-11.8460813321,-159.005491792
-6.9,9.3,-55.12,146.26,47.1109,-122.803,-5.72378888505,-163.230138909
-8.8,6.9,-55.12,146.26,47.0547,-117.276,-6.0625456734,-159.923320861
-8.7,7.8,-55.12,146.26,47.0943,-114.459,-6.20253204903,-158.256377287
-10.1,9.8,-55.12,146.26,34.2535,-118.334,-15.1208233582,-154.72695356
-9.4,7.9,-55.12,146.26,48.4702,-104.196,-5.77306135305,-152.996207067
-10.2,10.7,-55.12,146.26,33.65,-117.009,-15.7135032368,-153.59368318
-10.7,9.1,-55.12,146.26,34.1062,-118.455,-15.2064286816,-154.760018533
-10.5,12.3,-55.12,146.26,33.5667,-116.631,-15.8231307039,-153.299273601
-10.4,12.1,-55.12,146.26,40.195,-112.813,-11.5489211337,-153.400509267
-7.2,8.1,-55.12,146.26,47.8457,-121.633,-5.25771250187,-162.950837908
-6.9,9.2,-55.12,146.26,46.5459,-123.563,-6.08277315826,-163.379379078
-7.7,8.5,-55.12,146.26,46.7689,-122.092,-6.00276100437,-162.626687781
-6.8,8.5,-55.12,146.26,46.6265,-121.265,-6.14887071322,-162.059030176
-7.6,8.3,-55.12,146.26,46.5433,-120.979,-6.22427747647,-161.843569911
-7.7,8.6,-55.12,146.26,46.4423,-114.188,-6.71687404596,-157.690979544
-8.5,8.0,-55.12,146.26,40.6184,-120.728,-10.4391038337,-158.806038228
-8.5,8.0,-55.12,146.26,40.6183,-120.728,-10.4391737637,-158.805994953
-7.8,8.4,-55.12,146.26,45.9325,-122.419,-6.57717302683,-162.37996098
-8.4,7.4,-55.12,146.26,45.8951,-119.928,-6.75192299928,-160.861916959
-8.1,7.3,-55.12,146.26,45.7565,-115.255,-7.16191649528,-157.936732327
-7.8,9.1,-55.12,146.26,45.8122,-113.37,-7.25575200797,-156.806671997
-8.9,10.4,-55.12,146.26,45.8409,-112.493,-7.299148398,-156.280451234
-10.5,11.4,-55.12,146.26,33.4947,-116.602,-15.8770756636,-153.253962589
-10.8,11.0,-55.12,146.26,36.4672,-116.863,-13.7655807124,-154.52703224
-8.3,8.1,-55.12,146.26,45.2357,-120.635,-7.18087297765,-160.941298195
-8.7,8.8,-55.12,146.26,45.2904,-118.96,-7.25141191002,-159.948427953
-7.7,8.6,-55.12,146.26,45.2781,-117.78,-7.3405997684,-159.218718394
-8.5,9.9,-55.12,146.26,45.0931,-114.233,-7.73747650742,-156.919246968
-9.1,10.7,-55.12,146.26,45.166,-112.489,-7.81935335,-155.870252009
-8.4,10.0,-55.12,146.26,39.6547,-122.716,-10.925666579,-159.688592734
